Taxon	max	min
Acynodon_adriaticus	84.9	66.043
Acynodon_iberoccitanus	70.6	66.043
Alligator_mississippiensis	0	0
Alligator_prenasalis	37.2	33.9
Alligator_thompsoni	20.43	15.97
Allodaposuchus_precedens	83.5	66
Allognathosuchus	46.2	40
Almadasuchus	161.2	155.7
Anthracosuchus	61.7	55.8
Araripesuchus_gomesii	112	109
Araripesuchus_patagonicus	99.6	93.5
Arenysuchus	70.6	66.043
Atlantosuchus	66.043	61.7
Australosuchus	28.4	15.97
Bernissartia	129.4	122.5
Borealosuchus_formidabilis	61.7	56.8
Borealosuchus_sternbergii	66.043	63.3
Borealosuchus_threensis	70.6	61.7
Boverisuchus_magnifrons	48.6	40.4
Boverisuchus_vorax	55.8	50.3
Brachychampsa	70.6	66.043
Brachyuranochampsa	46.2	40.4
Caiman_crocodilis	0	0
Caiman_yacare	0	0
Calsoyasuchus	199.3	182.7
Cerrejonisuchus	61.7	58.7
Chenanisuchus	70.6	55.8
Chimaerasuchus	126	100
Comahuesuchus	86.3	83.6
Cricosaurus_suevicus	155.7	150.8
Crocodylus_acutus	0	0
Crocodylus_affinis	50.3	46.2
Crocodylus_niloticus	0	0
Crocodylus_porosus	0	0
Crocodylus_rhombifer	0	0
Crocodylus_siamensis	0	0
Dakosaurus_andiniensis	152.1	145
Dakosaurus_maximus	157.3	152.1
Dibothrosuchus	201.5	190
Diplocynodon	55.8	28.4
Dollosuchoides	48.6	40.4
Dyrosaurus	56	47.8
Edentosuchus	126	100
Elosuchus	99.6	93.5
Eocaiman	55.8	33.9
Eogavialis	37.2	33.9
Eoneustes_bathonicus	167.7	164.7
Eoneustes_gaudryi	167.7	164.7
Eosuchus	55.8	48.6
Eothoracosaurus	70.6	66
Euthecodon	23.03	15.97
Eutretauranosuchus	157.3	152.1
Fruitachampsa	157	152
Gavialis	0	0
Gavialosuchus_americanus	11.6	2.6
Gavialosuchus_eggenburgensis	20.43	15.97
Geosaurus_giganteus	150.8	145.5
Geosaurus_grandis	150.8	145.5
Gobiosuchus	83.5	70.6
Goniopholis_baryglypheaus	157.3	152.1
Goniopholis_simus	145	139.8
Gracilisuchus	242	235
Gryposuchus	15.97	11.8
Guarinisuchus	66.043	61.7
Hesperosuchus	221.5	205.6
Hsisosuchus_chungkingensis	163.5	145
Hsisosuchus_dashanpuensis	171.6	161.2
Hylaeochampsa	130	122.5
Junggarsuchus	164.7	161.2
Kambara	48.6	33.9
Kaprosuchus	100.5	93.9
Kayentasuchus	196.5	183
Leidyosuchus	83.5	70.6
Libycosuchus	99.6	93.5
Lohuecosuchus	70.6	66.043
Lomasuchus	93.5	85.8
Machimosaurus	155.7	150.8
Mahajangasuchus	72.1	66
Malawisuchus	126	113
Mariliasuchus	83.6	72.1
Maroccosuchus	55.8	48.6
Mecistops	0	0
Melanosuchus	0	0
Meridiosaurus	157.3	145
Metriorhynchus_casamiquelai	164.7	161.2
Metriorhynchus_durobrivensis	164.7	161.2
Metriorhynchus_leedsi	164.7	150.8
Metriorhynchus_superciliosus	164.7	161.2
Mourasuchus	15.97	5.332
Notosuchus	86.3	83.6
Oceanosuchus	99.6	93.5
Orthosuchus	201.5	190
Osteolaemus	0	0
Paleosuchus	0	0
Paralligator	99.7	89.3
Peipehsuchus	182.7	174.1
Peirosaurus	70.6	66
Pelagosaurus	183	182
Pholidosaurus	145	139.8
Piscogavialis	7.246	5.332
Pissarrachampsa	94.3	66.043
Planocrania_datengensis	61.7	55.87
Planocrania_hengdongensis	58.7	55.8
Platysuchus_multiscrobiculatus	183	182
Postosuchus	221.5	205.6
Prodiplocynodon	70.6	66.043
Protosuchus	201.3	197
Purussaurus	13.8	5.332
Qunikana	28.4	11.608
Rhabdognathus	72.1	61.6
Sarcosuchus	122.5	109
Shamosuchus	83.5	70.6
Shantungosuchus	145	100
Sichuanosuchus	145	100
Simosuchus	72.1	66
Sokotosuchus	70.6	66
Sphagesaurus	100	72.1
Sphenosuchus	201.6	189.6
Steneosaurus_bollensis	183	182
Steneosaurus_brevior	183	182
Steneosaurus_durobrivensis	164.7	161.2
Steneosaurus_gracilirostris	183	175.6
Steneosaurus_leedsi	164.7	161.2
Stolokrosuchus	125.45	99.7
Stratiotosuchus	84.9	66.043
Teleidosaurus_calvadosi	171.6	164.7
Teleosaurus	167.7	150.8
Terminonaris_browni	94.3	89.3
Terminonaris_robusta	100.5	89.8
Thai_teleosaurid	152.1	145
Thecachampsa	28.4	23.03
Theriosuchus_guimarotae	157.3	152.1
Theriosuchus_pusilis	145	140.2
Thoracosaurus	66.043	55.8
Tomistoma	0	0
Uberabasuchus	70.6	66
Urugaysuchus	126	113
Vectisuchus	130	122.46
Voay	0.012	0
Zaraasuchus	83.6	72.1
Zoneait	175.6	168.4
Zosuchus	83.6	72.1
